D,38,27,43,1
B,36,24,34,2
D,36,37,38,0
C,34,25,35,7
C,34,24,32,10
C,34,26,35,8
J,56,25,35,13
C,35,25,34,2
D,34,25,34,1
B,34,25,34,56
B,36,26,36,0
C,34,27,35,0
D,32,26,33,1
C,34,25,36,713
AA,36,23,34,2
B,34,24,35,4
C,34,24,34,10
C,34,26,38,0
B,35,26,36,1
C,36,24,38,0
D,40,28,38,11
B,36,27,37,94
C,35,24,35,0
B,34,24,36,1
C,34,24,34,0
A,32,23,34,1
A,24,23,33,2
A,32,24,34,5
B,34,24,34,519
C,36,22,35,0
D,34,26,33,1
C,34,23,34,0
C,32,26,34,1
B,34,26,35,13
B,34,25,34,7
B,34,23,34,129
DD,34,24,34,110
B,32,23,33,99
B,32,25,37,0
DD,54,44,48,4
B,32,26,38,0
C,34,24,35,1
C,36,23,35,1
A,34,27,32,9
C,35,25,36,58
A,32,24,33,1
C,35,23,35,0
GG,32,25,37,1
B,37,24,36,20
B,32,24,33,1
B,36,24,35,69
A,32,22,35,0
C,37,25,37,10
B,34,26,33,2
DD,34,24,34,2
B,34,24,34,196
C,34,22,34,0
C,34,24,34,5
B,24,25,35,0
B,34,23,33,14
B,32,23,32,102
B,34,24,34,62
B,36,24,36,2
D,34,24,33,2
C,35,27,36,4
C,34,26,33,419
C,34,25,34,24
C,36,26,32,0
C,33,24,34,26
DD,39,24,36,6
B,34,26,39,10
B,34,24,34,0
D,35,23,35,1
B,36,28,36,1
A,33,25,35,1
DD,34,26,34,0
A,34,24,34,1
B,34,26,37,14
C,32,27,34,97
B,34,24,33,11
C,34,25,35,15
J,34,25,36,7
DD,42,34,42,42
